gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000154645,CHODL,0,0,0.636363636,0,0,0,0,-0.045878915,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000154646,TMPRSS15,0,0,0.428571429,0,0.047619048,0,0,0.041659704,-0.164252879,0,1.110714797,1,-0.461490867
ENSG00000154654,NCAM2,0.045454545,0.090909091,0.681818182,0,0,0,0,-0.174878319,-0.164252879,0,2.083612363,0.9375,-0.461490867
ENSG00000154655,L3MBTL4,0.325581395,0,0.395348837,0,0,0,0,-0.150851099,-0.164252879,0,-0.251341795,0.548387097,0.068127782
ENSG00000154678,PDE1C,0.054054054,0.067567568,0.621621622,0,0,0,0,-0.975869935,-0.164252879,0,0.916135284,0.92,-0.461490867
ENSG00000154710,RABGEF1,0.126315789,0,0.347368421,0,0,0,0.052631579,0.078369443,-0.164252879,0,0.137817232,0.733333333,0.597746432
ENSG00000154719,MRPL39,0.666666667,0,0.333333333,0,0,0,0,0.369945807,-0.164252879,0,-0.640500821,0.333333333,-0.461490867
ENSG00000154723,ATP5J,0,0,0.777777778,0,0,0,0,0.042820913,-0.164252879,0,-0.640500821,1,0.068127782
ENSG00000154727,GABPA,0,0.153846154,0.615384615,0,0,0,0,0.095572952,-0.164252879,0,0.137817232,1,-0.461490867
ENSG00000154734,ADAMTS1,0.166666667,0,0.333333333,0,0,0,0,-3.282941018,-0.164252879,0,-0.445921308,0.666666667,-0.461490867
ENSG00000154736,ADAMTS5,0.142857143,0,0.285714286,0,0,0,0,-0.815580132,-0.164252879,0,0.332396745,0.666666667,0.068127782
ENSG00000154743,TSEN2,0.076923077,0,0.58974359,0,0.012820513,0,0,0.453060752,-0.164252879,0,0.526976258,0.884615385,-0.461490867
ENSG00000154760,SLFN13,0.11023622,0.078740157,0.251968504,0,0,0,0,0.686535411,-0.164252879,0,0.526976258,0.695652174,0.068127782
ENSG00000154764,WNT7A,0.071428571,0.071428571,0.285714286,0,0,0,0,0.703433192,-0.164252879,0,0.137817232,0.8,0.068127782
ENSG00000154767,XPC,0.142857143,0,0,0,0,0,0,-0.077851823,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000154781,CCDC174,0,0,0.1,0,0,0,0,0.349920277,-0.164252879,0,-0.640500821,1,0.068127782
ENSG00000154783,FGD5,0.166666667,0,0.404761905,0,0,0,0,-0.564091413,-0.164252879,0,0.526976258,0.708333333,-0.461490867
ENSG00000154803,FLCN,0,0,0.27027027,0,0,0,0.027027027,0.027605916,-0.164252879,0,-0.056762281,1,0.068127782
ENSG00000154813,DPH3,0,0,0,0,0,0,0,-0.206342785,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000154814,OXNAD1,0,0,0.58974359,0,0,0,0,0.302047439,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000154822,PLCL2,0.048387097,0,0.596774194,0,0,0,0,-0.113854187,-0.164252879,0,1.499873824,0.925,0.068127782
ENSG00000154832,CXXC1,0.017977528,0,0.076404494,0.011235955,0.015730337,0,0,0.506365622,-0.164252879,0,0.916135284,0.80952381,0.068127782
ENSG00000154839,SKA1,0.9,0,0,0,0,0,0,1.636731747,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000154845,PPP4R1,0.0703125,0.09375,0.1328125,0,0,0,0,0.352940157,-0.164252879,0,1.110714797,0.653846154,0.068127782
ENSG00000154856,APCDD1,0.071428571,0,0.214285714,0,0,0,0,-1.198614245,-0.164252879,0,-0.056762281,0.75,-0.461490867
ENSG00000154864,PIEZO2,0.153846154,0,0.461538462,0,0.015384615,0,0,-0.406994007,-0.164252879,0,0.332396745,0.75,-0.461490867
ENSG00000154889,MPPE1,0.153846154,0,0.192307692,0,0,0,0,0.089160653,-0.164252879,0,-0.445921308,0.555555556,-0.461490867
ENSG00000154914,USP43,0.085714286,0.114285714,0.571428571,0,0,0,0,0.664153004,-0.164252879,0,0.137817232,0.869565217,-0.461490867
ENSG00000154917,RAB6B,0.263157895,0,0.157894737,0,0,0,0,0.199739219,-0.164252879,0,-0.640500821,0.375,0.597746432
ENSG00000154920,EME1,0.02962963,0.037037037,0.17037037,0,0.014814815,0,0,1.103817261,-0.164252879,0,-0.056762281,0.851851852,0.068127782
ENSG00000154928,EPHB1,0.095238095,0,0.412698413,0,0,0,0,-0.623814074,-0.164252879,0,1.499873824,0.8125,-0.461490867
ENSG00000154930,ACSS1,0.130434783,0.130434783,0.391304348,0,0,0,0,-0.09911941,-0.164252879,0,-0.056762281,0.75,0.068127782
ENSG00000154945,ANKRD40,0.054054054,0,0.189189189,0,0,0,0,-0.265466093,-0.164252879,0,0.137817232,0.777777778,-0.461490867
ENSG00000154957,ZNF18,0,0,0.833333333,0,0,0,0,0.218795206,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000154975,CA10,0.063291139,0,0.35443038,0,0,0,0,0.001705222,-0.164252879,0,0.332396745,0.848484848,-0.461490867
ENSG00000154997,14.Sep,0,0.083333333,0.416666667,0,0,0,0,0.042554036,-0.164252879,0,0.332396745,1,-0.461490867
ENSG00000155008,APOOL,0,1,0,0,0,0,0,-0.065300759,-0.164252879,0,-0.640500821,0,0.068127782
ENSG00000155011,DKK2,0.1875,0.0625,0.25,0,0,0,0,0.416940242,-0.164252879,0,-0.251341795,0.571428571,0.068127782
ENSG00000155016,CYP2U1,0,0,0.285714286,0,0,0,0,-0.57333467,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000155026,RSPH10B,0,0,0.193548387,0,0,0,0,0.018599694,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000155034,FBXL18,0.162162162,0,0.27027027,0,0,0,0,0.31911441,-0.164252879,0,-0.056762281,0.625,-0.461490867
ENSG00000155052,CNTNAP5,0.19047619,0.238095238,0.476190476,0,0,0,0,-0.015303943,-0.164252879,0,1.499873824,0.714285714,0.068127782
ENSG00000155066,PROM2,0.189655172,0,0.120689655,0,0.103448276,0,0,1.195199614,-0.164252879,0,-0.251341795,0.388888889,-0.461490867
ENSG00000155085,AK9,0.079365079,0.095238095,0.428571429,0.047619048,0.047619048,0,0,-0.023482618,-0.164252879,0,0.721555771,0.84375,-0.461490867
