Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
11542,RP1L1,0.0,0.0,0.882352941,0.058823529,0.0,0.0,0.0,-0.015367557,-0.264425559,0,1.857364829,1.0,1,ENSG00000183638
11543,ZNF530,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.310327625,-0.264425559,0,0.108643716,1.0,0,ENSG00000183647
11544,KLHL25,0.058823529,0.029411765,0.088235294,0.029411765,0.0,0.0,0.0,0.084345689,-0.264425559,0,0.302946062,0.6,7,ENSG00000183655
11545,TRMT12,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.581885787,-0.264425559,0,-0.474263322,1.0,3,ENSG00000183665
11546,ALYREF,0.014084507,0.0,0.014084507,0.0,0.0,0.0,0.0,0.737765205,-0.264425559,0,-0.474263322,0.5,91,ENSG00000183684
11547,EFHC2,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.331604207,-0.264425559,0,-0.474263322,0.5,37,ENSG00000183690
11548,NOG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.014661298,1.212192959,0,-0.474263322,1.0,15,ENSG00000183691
11549,MRGPRX2,0.111111111,0.0,0.777777778,0.111111111,0.0,0.0,0.0,-0.020460071,-0.264425559,0,0.691550754,0.875,0,ENSG00000183695
11550,UPP1,0.036363636,0.0,0.236363636,0.0,0.018181818,0.0,0.0,0.893549846,-0.264425559,0,-0.08565863,0.866666667,29,ENSG00000183696
11551,OR4N4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.264425559,0,-0.08565863,1.0,1,ENSG00000183706
11552,IFNL2,0.166666667,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.106491636,2.688811477,0,-0.279960976,0.5,0,ENSG00000183709
11553,OPCML,0.347222222,0.0,0.347222222,0.0,0.0,0.0,0.0,-0.01737032,-0.264425559,0,0.302946062,0.5,8,ENSG00000183715
11554,TRIM52,0.0,0.0,0.066666667,0.0,0.0,0.0,0.0,0.134007003,-0.264425559,0,-0.474263322,1.0,77,ENSG00000183718
11555,CMTM4,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-0.002111887,-0.264425559,0,-0.474263322,1.0,6,ENSG00000183723
11556,TBK1,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.365039669,-0.264425559,0,-0.279960976,1.0,78,ENSG00000183735
11557,CBX6,0.166666667,0.0,0.5,0.0,0.0,0.0,0.0,0.319985927,-0.264425559,0,-0.08565863,0.75,102,ENSG00000183741
11558,MACC1,0.090909091,0.0,0.636363636,0.090909091,0.0,0.0,0.0,-1.093948677,-0.264425559,0,0.691550754,0.875,1,ENSG00000183742
11559,ACSM2A,0.09009009,0.0,0.36036036,0.0,0.018018018,0.0,0.0,-0.000455073,-0.264425559,0,0.691550754,0.8,1,ENSG00000183747
11560,TBL3,0.0,0.0,0.130434783,0.0,0.02173913,0.0,0.0,0.158996565,-0.264425559,0,-0.08565863,1.0,35,ENSG00000183751
11561,KREMEN1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.264425559,0,-0.474263322,1.0,1,ENSG00000183762
11562,TRAIP,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.667581004,-0.264425559,0,-0.279960976,1.0,26,ENSG00000183763
11563,CHEK2,0.228571429,0.0,0.242857143,0.171428571,0.0,0.0,0.0,0.776222048,2.688811477,0,-0.08565863,0.515151515,61,ENSG00000183765
11564,FOXL2,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.682775238,-0.264425559,0,-0.668565668,0.0,0,ENSG00000183770
11565,AIFM3,0.04040404,0.0,0.080808081,0.0,0.0,0.0,0.0,0.177002244,-0.264425559,0,-0.279960976,0.666666667,4,ENSG00000183773
11566,KCTD16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004663375,-0.264425559,0,-0.08565863,1.0,5,ENSG00000183775
11567,B3GALT5,0.416666667,0.0,0.416666667,0.0,0.0,0.0,0.0,-0.459772426,-0.264425559,0,-0.474263322,0.5,5,ENSG00000183778
11568,SLC35F3,0.230769231,0.0,0.615384615,0.0,0.0,0.0,0.0,0.345498364,-0.264425559,0,-0.08565863,0.727272727,1,ENSG00000183780
11569,KCTD8,0.121212121,0.0,0.454545455,0.0,0.0,0.0,0.0,-0.067403423,-0.264425559,0,1.274457791,0.789473684,3,ENSG00000183783
11570,TUBA8,0.083333333,0.0,0.416666667,0.0,0.0,0.0,0.0,-0.038496103,1.212192959,0,-0.474263322,0.833333333,17,ENSG00000183785
11571,EMILIN3,0.090909091,0.0,0.090909091,0.0,0.0,0.0,0.0,0.051821265,-0.264425559,0,-0.279960976,0.5,14,ENSG00000183798
11572,OLFML1,0.108108108,0.0,0.162162162,0.0,0.0,0.0,0.0,0.084550317,-0.264425559,0,-0.08565863,0.6,0,ENSG00000183801
11573,FAM162B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122233394,-0.264425559,0,-0.668565668,0.0,0,ENSG00000183807
11574,RBM12B,0.069230769,0.0,0.153846154,0.023076923,0.0,0.0,0.0,0.398553536,-0.264425559,0,0.497248408,0.689655172,14,ENSG00000183808
11575,CCR4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.099699332,1.212192959,0,-0.08565863,0.6,72,ENSG00000183813
11576,LIN9,0.181818182,0.0,0.545454545,0.0,0.0,0.0,0.0,0.577935761,-0.264425559,0,-0.08565863,0.75,14,ENSG00000183814
11577,BTBD9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.387367228,-0.264425559,0,-0.279960976,1.0,11,ENSG00000183826
11578,NUDT14,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.667389883,-0.264425559,0,-0.474263322,1.0,4,ENSG00000183828
11579,ANKRD45,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0,-0.061372975,-0.264425559,0,-0.279960976,1.0,1,ENSG00000183831
11580,PNMA3,0.1875,0.1875,0.5625,0.0,0.0,0.0,0.0,0.127404232,-0.264425559,0,0.108643716,0.75,2,ENSG00000183837
11581,GPR39,0.157894737,0.052631579,0.157894737,0.0,0.0,0.0,0.0,0.811657527,-0.264425559,0,0.497248408,0.5,1,ENSG00000183840
11582,FAM3B,0.0,0.222222222,0.388888889,0.0,0.0,0.0,0.0,-2.650861288,-0.264425559,0,-0.08565863,1.0,4,ENSG00000183844
11583,ZNF730,0.142857143,0.0,0.357142857,0.0,0.0,0.0,0.0,0.019936573,-0.264425559,0,-0.08565863,0.714285714,0,ENSG00000183850
11584,IQGAP3,0.157894737,0.157894737,0.263157895,0.0,0.0,0.0,0.0,1.177497736,-0.264425559,0,0.691550754,0.625,30,ENSG00000183856
11585,CNGA2,0.222222222,0.111111111,0.555555556,0.0,0.0,0.0,0.0,0.000646315,1.212192959,0,0.497248408,0.714285714,0,ENSG00000183862
11586,TOB2,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.168213481,-0.264425559,0,-0.08565863,1.0,7,ENSG00000183864
11587,SCN5A,0.176470588,0.0,0.529411765,0.176470588,0.088235294,0.0,0.0,0.04664304,-0.264425559,0,0.8858531,0.75,14,ENSG00000183873
11588,ARSI,0.296296296,0.0,0.444444444,0.0,0.0,0.0,0.0,1.398511149,-0.264425559,0,0.497248408,0.6,3,ENSG00000183876
