Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1579,PHKB,0.0,0.0,0.470588235,0.0,0.0,0.0,0.0,0.119755191,-0.239753503,0,0.436462277,1.0,10,ENSG00000102893
1580,NUTF2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.192436558,-0.239753503,0,-0.242244029,1.0,9,ENSG00000102898
1581,CENPT,0.027777778,0.0,0.027777778,0.0,0.0,0.0,0.0,0.265159397,-0.239753503,0,0.436462277,0.5,17,ENSG00000102901
1582,NFAT5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,-0.464389736,-0.239753503,0,-0.242244029,0.5,5,ENSG00000102908
1583,LONP2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.152610605,-0.239753503,0,-0.242244029,1.0,16,ENSG00000102910
1584,CBLN1,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.06829174,-0.239753503,0,0.436462277,1.0,1,ENSG00000102924
1585,ZNF423,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.520868764,-0.239753503,0,-0.920950334,0.0,0,ENSG00000102935
1586,CTCF,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.05727425,-0.239753503,0,-0.242244029,1.0,37,ENSG00000102974
1587,USB1,0.466666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.105001905,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103005
1588,CCDC113,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.025664644,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103021
1589,PRSS54,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.001488685,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103023
1590,PSMD7,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.070068858,-0.239753503,0,-0.242244029,1.0,33,ENSG00000103035
1591,SLC38A7,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.162600898,-0.239753503,0,-0.242244029,1.0,9,ENSG00000103042
1592,VAC14,0.0,0.0,0.266666667,0.0,0.0,0.0,0.0,0.012699596,-0.239753503,0,0.436462277,1.0,21,ENSG00000103043
1593,HAS3,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.429524424,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103044
1594,COG4,0.0,0.0,0.214285714,0.0,0.0,0.0,0.0,0.052862425,-0.239753503,0,-0.242244029,1.0,11,ENSG00000103051
1595,SMPD3,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.442037013,-0.239753503,0,-0.242244029,1.0,5,ENSG00000103056
1596,PLA2G15,0.230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.251921676,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103066
